year,1,2,3,4,5,6,7,8,9,10,11,12
1871,27,322,670,2053,3210,3917,4107,4008,2717,1256,300,35
1872,185,290,765,1805,3077,3447,4967,3551,4942,1566,80,39
1873,106,325,963,1833,1816,4221,3408,2816,1890,445,45,41
1874,357,753,976,1791,4120,3780,5120,3286,3570,2260,227,6
1875,452,192,1378,2226,2848,5597,4032,5344,1946,620,131,123
1876,148,218,1100,1301,3480,5164,3842,3627,2223,1563,524,81
1877,329,372,1285,1636,3972,2937,4843,3135,4137,888,227,227
1878,103,397,850,1858,3098,4527,4690,5795,4483,1436,442,44
1879,65,136,266,1033,4038,5088,4975,4238,3920,1341,22,166
1880,384,577,2088,2066,2323,6465,4110,4206,2268,1395,111,268
1881,30,172,1091,2631,3920,3966,2992,4003,4500,943,146,30
1882,148,607,1265,1513,2558,3857,2373,4126,2730,3867,296,56
1883,226,95,683,1476,4788,3417,3220,4106,2588,605,91,497
1884,148,352,995,2146,3061,3582,2807,3386,1358,1160,210,55
1885,151,148,930,2023,2576,3876,4326,2408,4437,1070,202,126
1886,86,98,870,1541,2528,4401,5400,4286,4082,993,20,171
1887,552,79,1278,1793,2696,6349,2478,3157,2907,585,143,0
1888,277,308,1209,2513,3593,4632,3737,3030,2376,935,238,1
1889,349,365,575,1751,3392,6112,4092,2921,4256,994,359,10
1890,282,55,945,1750,1931,5617,4292,4012,2210,1708,115,181
1891,75,477,721,1556,3862,2840,3938,3062,2460,627,399,0
1892,126,372,1005,3311,4516,3498,4300,4628,2553,1083,232,65
1893,325,404,891,2632,2756,3896,5101,3642,2346,1675,81,20
1894,51,589,850,1801,3686,4500,2398,3473,3932,2717,624,131
1895,123,163,829,2076,2876,2641,6765,3618,2840,900,207,148
1896,251,362,799,2271,2915,2335,3636,3001,2533,425,70,40
1897,79,158,1523,934,3498,3691,3467,3557,5082,1668,210,1
1898,138,415,261,1681,2250,3955,3325,4421,2887,2058,55,136
1899,211,457,1030,1978,3212,4953,3811,4182,3807,1431,108,85
1900,96,325,976,2572,2715,3880,4327,2006,1675,875,111,54
